# file...... PV_out.csv
# date...... Mon Dec 17 13:51:12 2012
# user...... Antonia
# host...... (null)
# target.... solar 6
# trigger... (none)
# interval.. 60
# limit..... -1
# timestamp,VA_Out
2011-08-22 14:00:00 PDT,+4837.12+0j
2011-08-22 14:01:00 PDT,+4796.84+0j
2011-08-22 14:02:00 PDT,+4756.88+0j
2011-08-22 14:03:00 PDT,+4717.27+0j
2011-08-22 14:04:00 PDT,+4677.99+0j
2011-08-22 14:05:00 PDT,+4639.04+0j
2011-08-22 14:06:00 PDT,+4600.43+0j
2011-08-22 14:07:00 PDT,+4562.15+0j
2011-08-22 14:08:00 PDT,+4524.21+0j
2011-08-22 14:09:00 PDT,+4486.6+0j
2011-08-22 14:10:00 PDT,+4449.33+0j
2011-08-22 14:11:00 PDT,+4412.39+0j
2011-08-22 14:12:00 PDT,+4375.79+0j
2011-08-22 14:13:00 PDT,+4339.52+0j
2011-08-22 14:14:00 PDT,+4303.59+0j
2011-08-22 14:15:00 PDT,+4268+0j
2011-08-22 14:16:00 PDT,+4232.74+0j
2011-08-22 14:17:00 PDT,+4197.81+0j
2011-08-22 14:18:00 PDT,+4163.23+0j
2011-08-22 14:19:00 PDT,+4128.97+0j
2011-08-22 14:20:00 PDT,+4095.06+0j
2011-08-22 14:21:00 PDT,+4061.48+0j
2011-08-22 14:22:00 PDT,+4028.24+0j
2011-08-22 14:23:00 PDT,+3995.33+0j
2011-08-22 14:24:00 PDT,+3962.76+0j
2011-08-22 14:25:00 PDT,+3930.52+0j
2011-08-22 14:26:00 PDT,+3898.63+0j
2011-08-22 14:27:00 PDT,+3867.07+0j
2011-08-22 14:28:00 PDT,+3835.84+0j
2011-08-22 14:29:00 PDT,+3804.95+0j
2011-08-22 14:30:00 PDT,+3774.4+0j
2011-08-22 14:31:00 PDT,+3744.19+0j
2011-08-22 14:32:00 PDT,+3714.31+0j
2011-08-22 14:33:00 PDT,+3684.77+0j
2011-08-22 14:34:00 PDT,+3655.57+0j
2011-08-22 14:35:00 PDT,+3626.7+0j
2011-08-22 14:36:00 PDT,+3598.17+0j
2011-08-22 14:37:00 PDT,+3569.98+0j
2011-08-22 14:38:00 PDT,+3542.13+0j
2011-08-22 14:39:00 PDT,+3514.61+0j
2011-08-22 14:40:00 PDT,+3487.43+0j
2011-08-22 14:41:00 PDT,+3460.59+0j
2011-08-22 14:42:00 PDT,+3434.09+0j
2011-08-22 14:43:00 PDT,+3407.92+0j
2011-08-22 14:44:00 PDT,+3382.1+0j
2011-08-22 14:45:00 PDT,+3356.6+0j
2011-08-22 14:46:00 PDT,+3331.45+0j
2011-08-22 14:47:00 PDT,+3306.64+0j
2011-08-22 14:48:00 PDT,+3282.16+0j
2011-08-22 14:49:00 PDT,+3258.02+0j
2011-08-22 14:50:00 PDT,+3234.22+0j
2011-08-22 14:51:00 PDT,+3210.76+0j
2011-08-22 14:52:00 PDT,+3187.63+0j
2011-08-22 14:53:00 PDT,+3164.85+0j
2011-08-22 14:54:00 PDT,+3142.4+0j
2011-08-22 14:55:00 PDT,+3120.29+0j
2011-08-22 14:56:00 PDT,+3098.52+0j
2011-08-22 14:57:00 PDT,+3077.09+0j
2011-08-22 14:58:00 PDT,+3056+0j
2011-08-22 14:59:00 PDT,+3035.24+0j
2011-08-22 15:00:00 PDT,+3014.82+0j
2011-08-22 15:01:00 PDT,+3010.6+0j
2011-08-22 15:02:00 PDT,+3006.17+0j
2011-08-22 15:03:00 PDT,+3001.55+0j
2011-08-22 15:04:00 PDT,+2996.73+0j
2011-08-22 15:05:00 PDT,+2991.71+0j
2011-08-22 15:06:00 PDT,+2986.49+0j
2011-08-22 15:07:00 PDT,+2981.08+0j
2011-08-22 15:08:00 PDT,+2975.47+0j
2011-08-22 15:09:00 PDT,+2969.66+0j
2011-08-22 15:10:00 PDT,+2963.66+0j
2011-08-22 15:11:00 PDT,+2957.45+0j
