# file...... WT_out.csv
# date...... Mon Dec 17 13:51:12 2012
# user...... Antonia
# host...... (null)
# target.... windturb_dg 9
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,Pconv, TotalRealPow
2011-08-22 14:00:00 PDT,+339703,+337854
2011-08-22 14:01:00 PDT,+343119,+341232
2011-08-22 14:02:00 PDT,+346424,+344501
2011-08-22 14:03:00 PDT,+349619,+347660
2011-08-22 14:04:00 PDT,+352702,+350709
2011-08-22 14:05:00 PDT,+355673,+353647
2011-08-22 14:06:00 PDT,+358532,+356473
2011-08-22 14:07:00 PDT,+361278,+359187
2011-08-22 14:08:00 PDT,+363910,+361789
2011-08-22 14:09:00 PDT,+366428,+364278
2011-08-22 14:10:00 PDT,+368832,+366653
2011-08-22 14:11:00 PDT,+371120,+368915
2011-08-22 14:12:00 PDT,+373294,+371063
2011-08-22 14:13:00 PDT,+375352,+373096
2011-08-22 14:14:00 PDT,+377293,+375014
2011-08-22 14:15:00 PDT,+379119,+376818
2011-08-22 14:16:00 PDT,+380828,+378506
2011-08-22 14:17:00 PDT,+382420,+380079
2011-08-22 14:18:00 PDT,+383895,+381536
2011-08-22 14:19:00 PDT,+385253,+382878
2011-08-22 14:20:00 PDT,+386494,+384103
2011-08-22 14:21:00 PDT,+387616,+385212
2011-08-22 14:22:00 PDT,+388621,+386204
2011-08-22 14:23:00 PDT,+389509,+387081
2011-08-22 14:24:00 PDT,+390278,+387840
2011-08-22 14:25:00 PDT,+390929,+388483
2011-08-22 14:26:00 PDT,+391461,+389009
2011-08-22 14:27:00 PDT,+391876,+389418
2011-08-22 14:28:00 PDT,+392172,+389711
2011-08-22 14:29:00 PDT,+392349,+389886
2011-08-22 14:30:00 PDT,+392409,+389945
2011-08-22 14:31:00 PDT,+392349,+389886
2011-08-22 14:32:00 PDT,+392172,+389711
2011-08-22 14:33:00 PDT,+391876,+389418
2011-08-22 14:34:00 PDT,+391461,+389009
2011-08-22 14:35:00 PDT,+390929,+388483
2011-08-22 14:36:00 PDT,+390278,+387840
2011-08-22 14:37:00 PDT,+389509,+387081
2011-08-22 14:38:00 PDT,+388621,+386204
2011-08-22 14:39:00 PDT,+387616,+385212
2011-08-22 14:40:00 PDT,+386494,+384103
2011-08-22 14:41:00 PDT,+385253,+382878
2011-08-22 14:42:00 PDT,+383895,+381536
2011-08-22 14:43:00 PDT,+382420,+380079
2011-08-22 14:44:00 PDT,+380828,+378506
2011-08-22 14:45:00 PDT,+379119,+376818
2011-08-22 14:46:00 PDT,+377293,+375014
2011-08-22 14:47:00 PDT,+375352,+373096
2011-08-22 14:48:00 PDT,+373294,+371063
2011-08-22 14:49:00 PDT,+371120,+368915
2011-08-22 14:50:00 PDT,+368832,+366653
2011-08-22 14:51:00 PDT,+366428,+364278
2011-08-22 14:52:00 PDT,+363910,+361789
2011-08-22 14:53:00 PDT,+361278,+359187
2011-08-22 14:54:00 PDT,+358532,+356473
2011-08-22 14:55:00 PDT,+355673,+353647
2011-08-22 14:56:00 PDT,+352702,+350709
2011-08-22 14:57:00 PDT,+349619,+347660
2011-08-22 14:58:00 PDT,+346424,+344501
2011-08-22 14:59:00 PDT,+343119,+341232
2011-08-22 15:00:00 PDT,+339703,+337854
2011-08-22 15:01:00 PDT,+333003,+331225
2011-08-22 15:02:00 PDT,+326319,+324612
2011-08-22 15:03:00 PDT,+319654,+318016
2011-08-22 15:04:00 PDT,+313009,+311438
2011-08-22 15:05:00 PDT,+306385,+304879
2011-08-22 15:06:00 PDT,+299783,+298341
2011-08-22 15:07:00 PDT,+293205,+291825
2011-08-22 15:08:00 PDT,+286651,+285332
2011-08-22 15:09:00 PDT,+280123,+278863
2011-08-22 15:10:00 PDT,+273624,+272421
2011-08-22 15:11:00 PDT,+267153,+266006
