# file...... PV_out.csv
# date...... Fri Dec 14 16:01:06 2012
# user...... Antonia
# host...... (null)
# target.... solar 6
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,VA_Out
2011-08-22 11:00:00 PDT,+6056.21+0j
2011-08-22 11:01:00 PDT,+6064+0j
2011-08-22 11:02:00 PDT,+6071.64+0j
2011-08-22 11:03:00 PDT,+6079.11+0j
2011-08-22 11:04:00 PDT,+6086.43+0j
2011-08-22 11:05:00 PDT,+6093.58+0j
2011-08-22 11:06:00 PDT,+6100.58+0j
2011-08-22 11:07:00 PDT,+6107.42+0j
2011-08-22 11:08:00 PDT,+6114.09+0j
2011-08-22 11:09:00 PDT,+6120.61+0j
2011-08-22 11:10:00 PDT,+6126.97+0j
2011-08-22 11:11:00 PDT,+6133.17+0j
2011-08-22 11:12:00 PDT,+6139.21+0j
2011-08-22 11:13:00 PDT,+6145.09+0j
2011-08-22 11:14:00 PDT,+6150.81+0j
2011-08-22 11:15:00 PDT,+6156.37+0j
2011-08-22 11:16:00 PDT,+6161.78+0j
2011-08-22 11:17:00 PDT,+6167.02+0j
2011-08-22 11:18:00 PDT,+6172.1+0j
2011-08-22 11:19:00 PDT,+6177.03+0j
2011-08-22 11:20:00 PDT,+6181.79+0j
2011-08-22 11:21:00 PDT,+6186.4+0j
2011-08-22 11:22:00 PDT,+6190.85+0j
2011-08-22 11:23:00 PDT,+6195.13+0j
2011-08-22 11:24:00 PDT,+6199.26+0j
2011-08-22 11:25:00 PDT,+6203.23+0j
2011-08-22 11:26:00 PDT,+6207.04+0j
2011-08-22 11:27:00 PDT,+6210.69+0j
2011-08-22 11:28:00 PDT,+6214.18+0j
2011-08-22 11:29:00 PDT,+6217.51+0j
2011-08-22 11:30:00 PDT,+6220.68+0j
2011-08-22 11:31:00 PDT,+6223.7+0j
2011-08-22 11:32:00 PDT,+6226.55+0j
2011-08-22 11:33:00 PDT,+6229.24+0j
2011-08-22 11:34:00 PDT,+6231.78+0j
2011-08-22 11:35:00 PDT,+6234.16+0j
2011-08-22 11:36:00 PDT,+6236.37+0j
2011-08-22 11:37:00 PDT,+6238.43+0j
2011-08-22 11:38:00 PDT,+6240.33+0j
2011-08-22 11:39:00 PDT,+6242.07+0j
2011-08-22 11:40:00 PDT,+6243.65+0j
2011-08-22 11:41:00 PDT,+6245.07+0j
2011-08-22 11:42:00 PDT,+6246.33+0j
2011-08-22 11:43:00 PDT,+6247.44+0j
2011-08-22 11:44:00 PDT,+6248.38+0j
2011-08-22 11:45:00 PDT,+6249.16+0j
2011-08-22 11:46:00 PDT,+6249.79+0j
2011-08-22 11:47:00 PDT,+6250.25+0j
2011-08-22 11:48:00 PDT,+6250.56+0j
2011-08-22 11:49:00 PDT,+6250.71+0j
2011-08-22 11:50:00 PDT,+6250.7+0j
2011-08-22 11:51:00 PDT,+6250.53+0j
2011-08-22 11:52:00 PDT,+6250.2+0j
2011-08-22 11:53:00 PDT,+6249.71+0j
2011-08-22 11:54:00 PDT,+6249.06+0j
2011-08-22 11:55:00 PDT,+6248.26+0j
2011-08-22 11:56:00 PDT,+6247.29+0j
2011-08-22 11:57:00 PDT,+6246.16+0j
2011-08-22 11:58:00 PDT,+6244.88+0j
2011-08-22 11:59:00 PDT,+6243.44+0j
2011-08-22 12:00:00 PDT,+6241.83+0j
2011-08-22 12:01:00 PDT,+6240.52+0j
2011-08-22 12:02:00 PDT,+6239.04+0j
2011-08-22 12:03:00 PDT,+6237.38+0j
2011-08-22 12:04:00 PDT,+6235.55+0j
2011-08-22 12:05:00 PDT,+6233.55+0j
2011-08-22 12:06:00 PDT,+6231.36+0j
2011-08-22 12:07:00 PDT,+6229.01+0j
2011-08-22 12:08:00 PDT,+6226.48+0j
2011-08-22 12:09:00 PDT,+6223.77+0j
2011-08-22 12:10:00 PDT,+6220.9+0j
2011-08-22 12:11:00 PDT,+6217.84+0j
2011-08-22 12:12:00 PDT,+6214.61+0j
2011-08-22 12:13:00 PDT,+6211.21+0j
2011-08-22 12:14:00 PDT,+6207.64+0j
2011-08-22 12:15:00 PDT,+6203.88+0j
2011-08-22 12:16:00 PDT,+6199.96+0j
2011-08-22 12:17:00 PDT,+6195.86+0j
2011-08-22 12:18:00 PDT,+6191.58+0j
2011-08-22 12:19:00 PDT,+6187.13+0j
2011-08-22 12:20:00 PDT,+6182.51+0j
2011-08-22 12:21:00 PDT,+6177.71+0j
2011-08-22 12:22:00 PDT,+6172.74+0j
2011-08-22 12:23:00 PDT,+6167.59+0j
2011-08-22 12:24:00 PDT,+6162.27+0j
2011-08-22 12:25:00 PDT,+6156.77+0j
2011-08-22 12:26:00 PDT,+6151.1+0j
2011-08-22 12:27:00 PDT,+6145.26+0j
2011-08-22 12:28:00 PDT,+6139.24+0j
2011-08-22 12:29:00 PDT,+6133.04+0j
