# file...... WT_out.csv
# date...... Fri Dec 14 16:01:06 2012
# user...... Antonia
# host...... (null)
# target.... windturb_dg 10
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,Pconv, TotalRealPow
2011-08-22 11:00:00 PDT,+0,+0
2011-08-22 11:01:00 PDT,+0,+0
2011-08-22 11:02:00 PDT,+0,+0
2011-08-22 11:03:00 PDT,+0,+0
2011-08-22 11:04:00 PDT,+0,+0
2011-08-22 11:05:00 PDT,+0,+0
2011-08-22 11:06:00 PDT,+0,+0
2011-08-22 11:07:00 PDT,+0,+0
2011-08-22 11:08:00 PDT,+0,+0
2011-08-22 11:09:00 PDT,+0,+0
2011-08-22 11:10:00 PDT,+0,+0
2011-08-22 11:11:00 PDT,+0,+0
2011-08-22 11:12:00 PDT,+0,+0
2011-08-22 11:13:00 PDT,+0,+0
2011-08-22 11:14:00 PDT,+0,+0
2011-08-22 11:15:00 PDT,+829.978,+829.967
2011-08-22 11:16:00 PDT,+943.471,+943.456
2011-08-22 11:17:00 PDT,+1064.35,+1064.33
2011-08-22 11:18:00 PDT,+1192.7,+1192.68
2011-08-22 11:19:00 PDT,+1328.63,+1328.6
2011-08-22 11:20:00 PDT,+1472.2,+1472.16
2011-08-22 11:21:00 PDT,+1623.46,+1623.42
2011-08-22 11:22:00 PDT,+1782.48,+1782.43
2011-08-22 11:23:00 PDT,+1949.28,+1949.22
2011-08-22 11:24:00 PDT,+2123.89,+2123.82
2011-08-22 11:25:00 PDT,+2306.32,+2306.24
2011-08-22 11:26:00 PDT,+2496.57,+2496.47
2011-08-22 11:27:00 PDT,+2694.63,+2694.51
2011-08-22 11:28:00 PDT,+2900.47,+2900.34
2011-08-22 11:29:00 PDT,+3114.06,+3113.91
2011-08-22 11:30:00 PDT,+3335.36,+3335.18
2011-08-22 11:31:00 PDT,+3564.31,+3564.1
2011-08-22 11:32:00 PDT,+5464.42,+5463.94
2011-08-22 11:33:00 PDT,+7904.88,+7903.87
2011-08-22 11:34:00 PDT,+10419.6,+10417.9
2011-08-22 11:35:00 PDT,+13007.7,+13005
2011-08-22 11:36:00 PDT,+15668.2,+15664.2
2011-08-22 11:37:00 PDT,+18399.9,+18394.4
2011-08-22 11:38:00 PDT,+21201.8,+21194.5
2011-08-22 11:39:00 PDT,+24072.5,+24063.1
2011-08-22 11:40:00 PDT,+27010.8,+26999
2011-08-22 11:41:00 PDT,+30015.3,+30000.8
2011-08-22 11:42:00 PDT,+33084.7,+33067
2011-08-22 11:43:00 PDT,+36217.4,+36196.2
2011-08-22 11:44:00 PDT,+39411.9,+39386.8
2011-08-22 11:45:00 PDT,+42666.6,+42637.2
2011-08-22 11:46:00 PDT,+45980,+45945.8
2011-08-22 11:47:00 PDT,+49350.4,+49311
2011-08-22 11:48:00 PDT,+52776.1,+52731
2011-08-22 11:49:00 PDT,+56255.3,+56204.1
2011-08-22 11:50:00 PDT,+59786.4,+59728.6
2011-08-22 11:51:00 PDT,+63367.6,+63302.7
2011-08-22 11:52:00 PDT,+66997.1,+66924.5
2011-08-22 11:53:00 PDT,+70673,+70592.3
2011-08-22 11:54:00 PDT,+74393.7,+74304.2
2011-08-22 11:55:00 PDT,+78157.2,+78058.5
2011-08-22 11:56:00 PDT,+81961.7,+81853.1
2011-08-22 11:57:00 PDT,+85805.4,+85686.4
2011-08-22 11:58:00 PDT,+89686.5,+89556.5
2011-08-22 11:59:00 PDT,+93603,+93461.5
2011-08-22 12:00:00 PDT,+97553.3,+97399.6
2011-08-22 12:01:00 PDT,+102328,+102159
2011-08-22 12:02:00 PDT,+107130,+106944
2011-08-22 12:03:00 PDT,+111955,+111753
2011-08-22 12:04:00 PDT,+116800,+116579
2011-08-22 12:05:00 PDT,+121660,+121421
2011-08-22 12:06:00 PDT,+126533,+126274
2011-08-22 12:07:00 PDT,+131414,+131135
2011-08-22 12:08:00 PDT,+136300,+136001
2011-08-22 12:09:00 PDT,+141189,+140867
2011-08-22 12:10:00 PDT,+146075,+145731
2011-08-22 12:11:00 PDT,+150957,+150590
2011-08-22 12:12:00 PDT,+155831,+155440
2011-08-22 12:13:00 PDT,+160694,+160278
2011-08-22 12:14:00 PDT,+165544,+165102
2011-08-22 12:15:00 PDT,+170376,+169908
2011-08-22 12:16:00 PDT,+175189,+174694
2011-08-22 12:17:00 PDT,+179980,+179458
2011-08-22 12:18:00 PDT,+184746,+184196
2011-08-22 12:19:00 PDT,+189485,+188906
2011-08-22 12:20:00 PDT,+194194,+193586
2011-08-22 12:21:00 PDT,+198871,+198234
2011-08-22 12:22:00 PDT,+203514,+202847
2011-08-22 12:23:00 PDT,+208120,+207423
2011-08-22 12:24:00 PDT,+212688,+211960
2011-08-22 12:25:00 PDT,+217216,+216457
2011-08-22 12:26:00 PDT,+221701,+220911
2011-08-22 12:27:00 PDT,+226143,+225320
2011-08-22 12:28:00 PDT,+230538,+229683
2011-08-22 12:29:00 PDT,+234886,+233999
